province,n_official_name,ori_experience,description,company_description,experience,industry,domain,title_jd,common_name,title,district,start_date,company_address,location,source,type,ori_district,end_date,salary
上海,上海知名日企招聘射频工程师,不限,招聘职位：射频工程师工作要求：1、至少1年以上电子行业工作经验，有射频研发领域1年以上工作经验者优先；2、男性，22-28岁，本科及以上学历；3、良好的英语沟通能力，英文CET-4或以上，能进行基本的外语交流，部门经理是日本人；4、能经常接受出差；工作内容：1.现,,不限,计算机硬件及网络设备/电子技术/半导体/集成电路,招聘,射频工程师,上海知名日企招聘射频工程师,射频工程师,上海,2017-04-13,上海,上海,智联卓聘,全职,上海,2017-06-07,12000-99999999
上海,深圳睿领域科技有限公司,1年以上,工作职责:1、负责无线通信终端产品射频部分的研发工作；2、和部门内其他工程师紧密协作，保证整体射频电路设计指标的按期实现并满足可靠性和一致性要求；3、和其它部门密切协作，保证整个产品的相关目标按期实现；4、设计方案所采用元器的选择和成本控制；5、完成其它相关工作。职位要求:1、电子工程、通信、微波等相关专业本科及以上学历（如果相关工作经验极为丰富，可降低要求至大专）；2、两年以上射频开发经验，有手机射频开发经验者优先；3、熟悉射频系统及射频电路设计、调试方法，对射频模块及数字通信有深入了解；4、能够熟练运用PADS或Cadence等EDA工具软件；5、具备良好的英语沟通能力，进取心强，有良好的学习和创新能力；6、良好的团队协作精神，善于与人沟通，能够承受工作压力。,MicrowaveRFWorldisfoundedbyReteyMediaInc.Reteyisanewinnov...,"1-3年,3-5年,5-10年,10年以上",不限,招聘,手机、终端射频工程师(深...,,手机、终端射频工程师(深圳睿领域科技有限公司),上海,2017-04-13,,,猎聘网,全职,不限,2017-07-02,0-1
上海,"海侣上海投资管理中心有限合伙,侣途",1-3年,"1. 具有两年以上RF调试相关经验（WiFi、GPS、北斗、蓝牙、433MHz数传模块、Cellular）以及天线测试经验， 2. 熟悉RF仪器操作（网络分析仪、频谱仪、示波器等）， 3. 熟悉通信测试规范、连接RF系统架构， 4. 调试过433MHz远距数传模块（Si4463）以及WiFi产品者优先， 5. 具备高速数字电路板设计和调试的经验（MIPS）， ,Boss Jack 5k-10k 诚聘", ,1-3年,计软/通信/互联网/电子,招聘,RF射频工程师(智能硬件...,侣途,RF射频工程师(智能硬件),闵行区,2017-04-14,,,看准网,全职,闵行区,2017-05-14,5000-10000
上海,上海斐讯数据通信技术有限公司,不限,岗位职责:一、岗位职责1、根据项目需求提供电...,上海斐讯数据通信技术有限公司（以下简称PHICOMM斐讯...,不限, 贸易,招聘,数通高级硬件工程师（射频..., 上海斐讯数据通信技术有限公司,数通高级硬件工程师（射频）,上海,2017-04-14, 上海市松江区思贤路3666号（总部地址）, 上海市松江区思贤路3666号（总部地址）, 纺织行业人才网,全职,上海,2018-04-14,0-1
上海,上海某电子标识股份有限公司,5-10年,岗位职责：1.本科以上学历，电磁场和微波技术等相关专业背景，扎实的电磁场与电磁波理论、微波技术、天线设计的理论基础。2.5年以上射频电路开发经验3.有丰富的射频电路设计和调试经验，可独立进行射频系统设计和测试4.熟悉Agilent ADS、Ansoft HFSS等射频相关E,,5-10年,计算机软件/计算机硬件及网络设备/电子技术/半导体/集成电路,招聘,射频硬件工程师,上海某电子标识股份有限公司,射频硬件工程师,徐汇区,2017-04-13,上海-徐汇区,上海-徐汇区,智联卓聘,全职,徐汇区,2017-06-29,12000-99999999
上海,上海豪成通讯科技有限公司,1年以上,1、负责无线通信终端产品射频部分的研发、调试工作，包括原理图设计、PCB摆件及走线检查、主板射频调试、天线验证等；2、和项目组成员紧密协作，保证整体射频电路设计指标的按期实现并满足可靠性和一致性要求；3、和其它部门密切协作，保证整个项目的相关目标按期实现；4、设计方案所采用元器的选择和成本控制；5、完成其它相关工作。职位要求：1、电子工程、通信、微波等相关专业大专及以上学历；2、一年以上方案公司手机射频开发经验，有MTK智能手机射频开发经验者优先；3、掌握GSMTDSCDMAWCDMALTECDMA等模式手机射频指标及测试方法；4、能够熟练运用PADS或Cadence等EDA工具软件；5、熟练操作CMU2008960CMW500等综测仪；6、有移动入库及CTA入网、国外运营商认证等经验者优先。,德千人者，谓之豪惠万众者，谓之成HCT豪成集团成立于2007年，...,"1-3年,3-5年,5-10年,10年以上",不限,招聘,手机射频工程师(上海豪成...,,手机射频工程师(上海豪成通讯科技有限公司),上海,2017-04-12,,,猎聘网,全职,不限,2017-07-02,6000-20000
上海,"亿百葩鲜数据科技上海有限公司,亿百科技",3-5年,"RFID射频工程师 岗位职责 1. RFID射频前端、读写部件和标签天线等无线解决方案产品的设计开发； 2. 物联网、电子车牌、射频识别、微波产品及相关解决方案的开发； 3. 绘制射频方案原理图和PCB layout； 4. 负责产品的单元测试、整机、系统联调测试工作，编写测试方案； 5. 负责与设计相关的技术储备，积极推动技术创新工作的开展，探索提高产品质量的有效途经； 6. 完成部门主管安排的相关工作；根据项目经理分配的开发任务，完成项目开发工作。 任职资格 1. 熟悉UHF RFID系统技术原理，熟悉UHF RFID标签性能指标； 2. 熟悉RFID电子标签、天线、读写器等的行业标准，具有射频读写器开发经验者优先； 3. 熟悉ISO-180006C协议及GB29768-2013标准协议，熟悉主流RFID芯片及RFID模块的工作原理及调试要求； 4. 了解功放管的匹配设计、调试及测试，有Doherty功放设计经验者优先； 5. 2年以上通信产品射频开发（射频小信号、射频功放、微波收发系统、RFID等）工作经验，从事RFID超高频/射频/微波领域产品设计2年以上核心技术开发经验者优先； 6. 熟悉OrCad，PADS等EDA设计软件者优先； 7. 熟悉ADS、CST、MWO、ANSYS HFSS等RF射频仿真软件工具者优先； 8. 熟练使用网络分析仪、信号源、频谱仪、IQ2010、IQView、矢网等RF射频测试仪表仪器； 9. 了解RFID产业的现状和未来发展趋势，对应用行业有深刻的理解。 ,Boss Anderson 10k-20k 诚聘", ,3-5年,计软/通信/互联网/电子,招聘,射频工程师(电子商务),亿百科技,射频工程师(电子商务),长宁区,2017-04-14,上海长宁区凯旋路166号凯旋坊8幢2层D座,上海长宁区凯旋路166号凯旋坊8幢2层D座,看准网,全职,长宁区,2017-05-14,15000-25000
上海,上海晨兴电子科技有限公司,1年以上,"
",上海晨兴电子科技有限公司,"1-3年,3-5年,5-10年,10年以上",其它,招聘,上海市射频工程师(职位编...,上海晨兴电子科技有限公司,上海市射频工程师(职位编号：60)招聘,上海,2017-04-14,上海市,上海市,大众人才网,全职,不限,2017-10-14,0-1
上海,"上海龙旗科技股份有限公司,龙旗",1年以下,请登录北森网申系统http://longcheerzp.zhiye.com/Campus选择相应职位投递简历工作职责：移动终端：手机、智能穿戴设备、智能家居等产品硬件开发。任职要求：1、电子信息工程、通信工程、自动化、微波、雷达等相关专业本科、硕士及以上学历。2、思维敏捷，思路清晰，具备一定的逻辑归纳/分析/推理能力。3、诚实守信，具备团队合作精神，有责任心。4、具有较强的实际动手能力。,上海龙旗科技股份有限公司,1年以下,其他,招聘,硬件工程师（基带/射频）...,龙旗,硬件工程师（基带/射频）-2017应届生(上海龙旗科技股份有限公司),上海,2017-04-14,北京市海淀区朱房路顺事嘉业创业园,漕宝路401号1号楼,拉勾网,全职,,2017-06-14,9000-10000
上海,上海德戎通信科技有限公司,不限,岗位职责：1、射频设计工作 为了降低设计风险...,德戎公司成立于2013年3月，...,不限, 贸易,招聘,高级射频工程师, 上海德戎通信科技有限公司,高级射频工程师,上海,2017-04-14, 上海市漕河泾开发区漕宝路1243号勇卫商务大厦, 上海市漕河泾开发区漕宝路1243号勇卫商务大厦, 纺织行业人才网,全职,上海,2018-04-14,0-1
